range_hint,match_id,league,kickoff,home_team,away_team,team,line,selection,model_prob,fair_odds,min_odds_for_edge,odds
C,football_data_538136,EPL,2026-05-09 22:00,Brighton,Wolves,Brighton,-1,Brighton AH -1,0.3394,2.947,3.094,
C,football_data_542701,L1,2026-05-11 03:00,Angers,Strasbourg,Strasbourg,-1,Strasbourg AH -1,0.3389,2.951,3.098,
C,football_data_540700,Bundesliga,2026-05-11 01:30,Mainz,Union Berlin,Mainz,-1,Mainz AH -1,0.3387,2.953,3.1,
C,football_data_544555,LaLiga,2026-05-10 20:00,Mallorca,Villarreal,Mallorca,-0.5,Mallorca AH -0.5,0.3382,2.957,3.105,
C,football_data_540696,Bundesliga,2026-05-09 02:30,Dortmund,Ein Frankfurt,Ein Frankfurt,+1,Ein Frankfurt AH +1,0.3347,2.988,3.137,
C,football_data_537171,SerieA,2026-05-11 00:00,Parma,Roma,Parma,+0.5,Parma AH +0.5,0.3345,2.989,3.139,
C,football_data_538129,EPL,2026-05-04 22:00,Chelsea,Nott'm Forest,Nott'm Forest,-0.5,Nott'm Forest AH -0.5,0.3324,3.009,3.159,
C,football_data_538137,EPL,2026-05-10 21:00,Crystal Palace,Everton,Crystal Palace,0,Crystal Palace AH 0,0.3311,3.02,3.171,
C,football_data_544553,LaLiga,2026-05-11 03:00,Barcelona,Real Madrid,Real Madrid,-0.5,Real Madrid AH -0.5,0.3291,3.039,3.191,
C,football_data_542697,L1,2026-05-11 03:00,Metz,Lorient,Lorient,-1.5,Lorient AH -1.5,0.3279,3.05,3.203,
C,football_data_537170,SerieA,2026-05-10 00:00,Lazio,Inter Milan,Lazio,+1.5,Lazio AH +1.5,0.3268,3.06,3.213,
C,football_data_544556,LaLiga,2026-05-09 20:00,Elche,Alaves,Elche,-1,Elche AH -1,0.3259,3.068,3.221,
C,football_data_537169,SerieA,2026-05-10 18:30,Verona,Como,Verona,+1.5,Verona AH +1.5,0.3239,3.087,3.241,
C,football_data_537168,SerieA,2026-05-09 02:45,Torino,Sassuolo,Torino,0,Torino AH 0,0.3223,3.103,3.258,
C,football_data_540699,Bundesliga,2026-05-09 21:30,Augsburg,M'gladbach,M'gladbach,-0.5,M'gladbach AH -0.5,0.3191,3.134,3.291,
C,football_data_544550,LaLiga,2026-05-05 03:00,Sevilla,Sociedad,Sociedad,-1,Sociedad AH -1,0.3179,3.146,3.303,
